episode,seed,steps,sim_dt,touches_head,touches_torso,touches_arm,touches_hand,touches_leg,touches_foot,total_touches,touches_per_min
1,0,1000,0.005,998,1059,3326,3206,1668,936,11193,134316.0
2,0,1000,0.005,999,1270,3160,2847,1822,1014,11112,133344.0
3,0,1000,0.005,1000,997,3142,2168,16,332,7655,91860.0
4,0,1000,0.005,1000,988,3019,2781,18,308,8114,97368.0
5,0,1000,0.005,999,1122,3103,2615,1768,842,10449,125388.0
6,0,1000,0.005,1000,1598,3075,3295,1870,943,11781,141372.0
7,0,1000,0.005,997,988,2946,3068,110,224,8333,99996.0
8,0,1000,0.005,1000,1000,3130,3323,1696,1022,11171,134052.0
9,0,1000,0.005,1000,1000,3102,2113,70,237,7522,90264.0
10,0,1000,0.005,1000,1000,3329,3185,12,379,8905,106860.0
